Vg (V),Isd (A)
-1.33,1.5447131e-05
-1.32,1.6380036e-05
-1.31,1.7334634e-05
-1.3,1.8278382e-05
-1.29,1.9243829e-05
-1.28,2.0187581e-05
-1.27,2.1001159e-05
-1.26,2.193406e-05
-1.25,2.2910353e-05
-1.24,2.386495e-05
-1.23,2.4808704e-05
-1.22,2.5741603e-05
-1.21,2.6685357e-05
-1.2,2.76508e-05
-1.19,2.8594552e-05
-1.18,3.0015599e-05
-1.17,3.0948504e-05
-1.16,3.1913951e-05
-1.15,3.2868549e-05
-1.14,3.3823148e-05
-1.13,3.4756049e-05
-1.12,3.5721492e-05
-1.11,3.6665246e-05
-1.1,3.7630689e-05
-1.09,3.8585287e-05
-1.08,3.9539886e-05
-1.07,4.0483639e-05
-1.06,4.1427385e-05
-1.05,4.2349438e-05
-1.04,4.3293188e-05
-1.03,4.42044e-05
-1.02,4.5137302e-05
-1.01,4.6102745e-05
-1.0,4.7035654e-05
-0.99,4.7979403e-05
-0.98,4.8944847e-05
-0.97,5.0355047e-05
-0.96,5.1168623e-05
-0.95,5.2112377e-05
-0.94,5.3110365e-05
-0.93,5.4064963e-05
-0.92,5.4987016e-05
-0.91,5.5952463e-05
-0.9,5.6874516e-05
-0.89,5.7829118e-05
-0.88,5.8762016e-05
-0.87,5.9705766e-05
-0.86,6.0660364e-05
-0.85,6.1582425e-05
-0.84,6.2515319e-05
-0.83,6.3448228e-05
-0.82,6.4370288e-05
-0.81,6.5270644e-05
-0.8,6.6181849e-05
-0.79,6.7082212e-05
-0.78,6.8025955e-05
-0.77,6.8937166e-05
-0.76,7.0282287e-05
-0.75,7.1171795e-05
-0.74,7.206131e-05
-0.73,7.2939976e-05
-0.72,7.3807787e-05
-0.71,7.4675605e-05
-0.7,7.5532575e-05
-0.69,7.6389537e-05
-0.68,7.7203113e-05
-0.67,7.8005854e-05
-0.66,7.8808582e-05
-0.65,7.9502832e-05
-0.64,8.0294711e-05
-0.63,8.1086597e-05
-0.62,8.1813392e-05
-0.61,8.2551036e-05
-0.6,8.3234438e-05
-0.59,8.3928702e-05
-0.58,8.4579558e-05
-0.57,8.5208725e-05
-0.56,8.582705e-05
-0.55,8.6694854e-05
-0.54,8.7226392e-05
-0.53,8.773624e-05
-0.52,8.823524e-05
-0.51,8.8712535e-05
-0.5,8.9157285e-05
-0.49,8.9580353e-05
-0.48,8.9981717e-05
-0.47,9.0361384e-05
-0.46,9.0719361e-05
-0.45,9.1055634e-05
-0.44,9.1402762e-05
-0.43,9.1695649e-05
-0.42,9.1988542e-05
-0.41,9.2292277e-05
-0.4,9.2509224e-05
-0.39,9.2834656e-05
-0.38,9.3073308e-05
-0.37,9.3279421e-05
-0.36,9.3507224e-05
-0.35,9.3735027e-05
-0.34,9.4017058e-05
-0.33,9.4212322e-05
-0.32,9.438589e-05
-0.31,9.4581141e-05
-0.3,9.4754701e-05
-0.29,9.4917421e-05
-0.28,9.5090989e-05
-0.27,9.5242853e-05
-0.26,9.5394716e-05
-0.25,9.5557436e-05
-0.24,9.5698451e-05
-0.23,9.5839474e-05
-0.22,9.5980504e-05
-0.21,9.6121519e-05
-0.2,9.6251686e-05
-0.19,9.6403557e-05
-0.18,9.6522883e-05
-0.17,9.665305e-05
-0.16,9.6750678e-05
-0.15,9.6891701e-05
-0.14,9.7000186e-05
-0.13,9.7184595e-05
-0.12,9.7293065e-05
-0.11,9.7401549e-05
-0.1,9.7510019e-05
-0.09,9.75968e-05
-0.08,9.7705277e-05
-0.07,9.7802913e-05
-0.06,9.7900542e-05
-0.05,9.801986e-05
-0.04,9.8095799e-05
-0.03,9.818258e-05
-0.02,9.826936e-05
-0.01,9.8345292e-05
-0.0,9.8421224e-05
0.01,9.8562246e-05
0.02,9.8638178e-05
0.03,9.8757511e-05
0.04,9.883345e-05
0.05,9.8920231e-05
0.06,9.8974459e-05
0.07,9.9028701e-05
0.08,9.912633e-05
0.09,9.9169723e-05
0.1,9.9223958e-05
0.11,9.9289042e-05
0.12,9.9332443e-05
0.13,9.9386671e-05
0.14,9.9440913e-05
0.15,9.946261e-05
0.16,9.9516845e-05
0.17,9.954939e-05
0.18,9.9571094e-05
0.19,9.9614474e-05
0.2,9.9647026e-05
0.21,9.9657875e-05
0.22,9.9690405e-05
0.23,9.971211e-05
0.24,9.9733807e-05
0.25,9.9755496e-05
0.26,9.9777193e-05
0.27,9.9777193e-05
0.28,9.9788042e-05
0.29,9.9809738e-05
0.3,9.9820587e-05
0.31,9.9820587e-05
0.32,9.9820587e-05
0.33,9.9820587e-05
0.34,9.9842277e-05
0.35,9.9863973e-05
0.36,9.9853125e-05
0.37,9.9853125e-05
0.38,9.9863973e-05
0.39,9.9863973e-05
0.4,9.9874829e-05
0.41,9.9863973e-05
0.42,9.9874829e-05
0.43,9.9874829e-05
0.44,9.9896519e-05
0.45,9.9896519e-05
0.46,9.9896519e-05
0.47,9.9896519e-05
0.48,9.9896519e-05
0.49,9.990736e-05
0.5,9.990736e-05
0.51,9.990736e-05
0.52,9.990736e-05
0.53,9.9896519e-05
0.54,9.9918208e-05
0.55,9.9929057e-05
